City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,isafjordur,66.0755,-23.124,12.170000000000016,58,100,4.63,IS,1697720892
154,remire-montjoly,4.9167,-52.2667,30.170000000000016,70,75,4.12,GF,1697720893
155,kavaratti,10.5669,72.642,28.54000000000002,66,100,0.91,IN,1697720747
156,fale old settlement,-9.3852,-171.2468,28.350000000000023,73,68,3.43,TK,1697720893
157,mount isa,-20.7333,139.5,22.019999999999982,23,0,2.57,AU,1697720893
158,ilulissat,69.2167,-51.1,-6.839999999999975,73,75,3.6,GL,1697720893
159,arraial do cabo,-22.9661,-42.0278,23.069999999999993,68,100,3.6,BR,1697720893
160,misratah,32.3754,15.0925,32.72000000000003,29,0,5.02,LY,1697720893
161,cochin,9.9399,76.2602,29.139999999999986,81,70,1.75,IN,1697720731
162,hilo,19.7297,-155.09,25.310000000000002,77,0,2.06,US,1697720684
163,jamestown,42.097,-79.2353,10.920000000000016,90,0,4.12,US,1697720802
164,livingston,55.9029,-3.5226,14.300000000000011,90,75,5.14,GB,1697720894
165,naze,28.3667,129.4833,20.560000000000002,66,4,0.34,JP,1697720894
166,port elizabeth,-33.918,25.5701,21.99000000000001,79,1,3.58,ZA,1697720894
167,klyuchi,52.2667,79.1667,10.490000000000009,57,90,3.43,RU,1697720894
168,yarmouth,41.7057,-70.2286,16.24000000000001,91,0,2.06,US,1697720894
169,kailua-kona,19.6406,-155.9956,25.480000000000018,86,0,3.58,US,1697720819
170,ternate,0.8,127.4,27.660000000000025,78,49,1.16,ID,1697720894
171,taulaga,-11.0553,-171.0883,27.649999999999977,78,54,3.45,AS,1697720895
172,coahuayana de hidalgo,18.7,-103.6583,22.379999999999995,96,100,2.68,MX,1697720895
173,auki,-8.7676,160.7034,25.379999999999995,89,100,1.68,SB,1697720895
174,carnarvon,-24.8667,113.6333,23.05000000000001,67,0,10.06,AU,1697720895
175,kuta,-8.7233,115.1723,27.120000000000005,88,20,1.54,ID,1697720895
176,mandera,3.9366,41.867,32.139999999999986,46,100,2.31,KE,1697720895
177,vadso,70.0744,29.7487,1.6399999999999864,69,75,8.23,NO,1697720599
178,boguchany,58.3814,97.4531,7.2900000000000205,91,79,2.24,RU,1697720895
179,ad dabbah,18.05,30.95,37.79000000000002,12,11,4.98,SD,1697720896
180,kaindy,42.8247,73.6759,15.779999999999973,34,2,0.95,KG,1697720896
